,beta_growth,beta_discount,beta_risk_premium,P_trace
1992-02-01,0.012843087568047681,0.03456306360143697,-0.008665457883967102,0.0523597897678571
1992-03-01,0.012638400784174664,0.03478044282452733,-0.00913388395331503,0.053269523745033326
1992-04-01,0.013998097026729378,0.03200786650470423,-0.005625313811758645,0.05346906193780236
1992-05-01,0.014720933729062425,0.03221779660115071,-0.006819344593276634,0.05461954052780842
1992-06-01,0.01435098942006047,0.03256575385421227,-0.00616120578278432,0.056141136698094576
1992-07-01,0.015446665971916622,0.03236079281011364,-0.007852806250013765,0.05759028915567253
1992-08-01,0.01473117380516493,0.0320440794655687,-0.0033763950035168716,0.059461678938435764
1992-09-01,0.01451275110958601,0.03236374303191468,-0.004520512478318432,0.06118801170755419
1992-10-01,0.01782649813788724,0.026499473828599428,-0.008559905333766714,0.0617663029578895
1992-11-01,0.01719293771884775,0.027436239476581453,-0.009573764344119207,0.06147801472248509
1992-12-01,0.017374292467474267,0.027827508992483117,-0.008805447635682232,0.06336044769792025
1993-01-01,0.016594682621109223,0.02856493060390727,-0.007543058848089033,0.06481909796188223
1993-02-01,0.015024558658733821,0.02793221851268238,-0.00443514581769907,0.06629702063050831
1993-03-01,0.013777162410983375,0.025434249968955446,-0.001036521992517842,0.06699422382332211
1993-04-01,0.011432846414869139,0.02340527991210648,0.002378690994148797,0.06775811167146376
1993-05-01,0.012173944666804144,0.02379671575333529,0.001709264879741491,0.0678606204203947
1993-06-01,0.01076129573963113,0.02311611454033525,-0.00021371666578746842,0.06932534678931174
1993-07-01,0.011024067103925516,0.02326678595368011,-0.0009089916503553706,0.07109876555025971
1993-08-01,0.011084439336968623,0.022456003624333976,-0.0005939577090089954,0.06567336698938736
1993-09-01,0.009296093174469866,0.018251389082830333,0.003247460133258772,0.06659004349609886
1993-10-01,0.0046200742556461016,0.012506017870100448,0.005940655506286054,0.06440561005165288
1993-11-01,0.0047170464223680614,0.011256180881408135,0.006404918158667634,0.0639900473266022
1993-12-01,0.003443247968794483,0.010515028786232193,0.00695667969771981,0.062512266393237
1994-01-01,-0.0034575243904668334,0.013875545949822448,0.011635528651800727,0.060323908423267535
1994-02-01,-0.019068591069743367,0.01588884230883074,0.02220054421315909,0.06052790272159029
1994-03-01,-0.018028932395270585,0.015595838800832639,0.02158713788750047,0.06028941661672678
1994-04-01,-0.0156720602549075,0.013236786612993592,0.015616656562591865,0.06196673192597966
1994-05-01,-0.019774631752286085,0.01364230344623729,0.007491300259569634,0.06344829611599101
1994-06-01,0.0019135514319157075,0.02146579197014136,0.006069980018629352,0.05323376476010195
1994-07-01,0.0038521686092614924,0.020323095449244728,0.004454974440544841,0.054015474478632086
1994-08-01,0.004486501860875329,0.020098899185348417,0.0038140273676515977,0.05553795467112068
1994-09-01,-0.003004847624625432,0.022495792136885608,0.008378153327219334,0.0564969125521649
1994-10-01,0.003420151965122199,0.02042533413031393,0.012815992405801911,0.04971596090326401
1994-11-01,0.004786454076944422,0.020604863153388935,0.008566552558682774,0.051686605830440296
1994-12-01,0.008842581740442982,0.02614412413885294,0.00398274570782833,0.052788219557018234
1995-01-01,0.010074152152365509,0.014225738395538548,-0.005013575834572934,0.052039251868140374
1995-02-01,0.013309082459549927,0.013951833187891664,-0.0064366504719093765,0.05240973113997686
1995-03-01,0.013317871614229097,0.013895766719196104,-0.006466721580418383,0.05111839549942178
1995-04-01,0.013405002751248554,0.014038253753891517,-0.00659687642191024,0.052044076569551886
1995-05-01,0.013338858951409764,0.013771910034973273,-0.006459770507089846,0.05149667687884567
1995-06-01,0.016083712773950244,0.01485494633655182,-0.0015399790346770264,0.05232366945386145
